roster_id,team_name,owner,wins,losses,ties,points_for,points_against,waiver_position,waiver_budget_used,keepers
1,Team Name,calryan11,1,1,0,194.26,209.98,9,0,
2,Brendan ,BrendanCina5,1,1,0,204.22,250.18,4,0,
3,Reaganc29,Reaganc29,1,1,0,192.96,187.90,10,0,
4,CRy20,CRy20,1,1,0,201.10,235.52,7,0,
5,Barbie dream house67👛🩰,katejryann,0,2,0,229.14,258.22,6,0,
6,Gibbs and the Gooners,mikeryan65,2,0,0,290.68,227.72,8,0,
7,Kurtis200,Kurtis200,2,0,0,238.38,159.48,11,0,
8,Moore Love and Flowers ❤️💐,Swryan4,1,1,0,211.76,172.76,12,0,
9,connorhebert200,connorhebert200,0,2,0,141.78,250.08,5,0,
10,pryan2025,pryan2025,0,2,0,196.64,230.62,1,0,
11,markstamp,markstamp,1,1,0,206.84,189.58,2,0,
12,Nickryan05,Nickryan05,2,0,0,247.58,183.30,3,0,
