roster_id,team_name,owner,wins,losses,ties,points_for,points_against,waiver_position,waiver_budget_used,keepers
1,Njigbas in Paris ,BG82,2,0,0,309.08,198.88,1,0,"Josh Allen, Jaylen Warren, David Montgomery, Jaxon Smith-Njigba, Harold Fannin, Emeka Egbuka, Terry McLaurin"
2,Nacua Matata,MikeDaly41,1,1,0,178.82,193.94,7,0,"Bhayshul Tuten, Malik Nabers, Brock Bowers, Drake Maye, Brian Thomas, Kyle Monangai, Puka Nacua"
3,Rashee's Driving School,mdoyle37,1,1,0,282.32,293.92,2,0,"Bucky Irving, Jaylen Waddle, Trey McBride, Tetairoa McMillan, Rashee Rice, Baker Mayfield, Javonte Williams"
4,Tittsburgh Feelers,Cillidog,0,2,0,173.80,302.52,12,0,"De'Von Achane, CeeDee Lamb, Tee Higgins, Colston Loveland, Rome Odunze, Jaxson Dart, Jacory Croskey-Merritt"
5,K9 Unit,rippont,1,1,0,306.96,291.96,6,0,"Lamar Jackson, Kenneth Walker, Kyren Williams, Nico Collins, Blake Corum, Tyler Warren, Travis Etienne"
6,The Ladds,mikeryan65,1,1,0,264.68,248.26,5,0,"Chase Brown, Luther Burden, Ladd McConkey, Jalen Coker, Quinshon Judkins, Jakobi Meyers"
7,Can You CeeDeez Nuts,ECast17,2,0,0,280.16,199.16,9,0,"Dak Prescott, Jahmyr Gibbs, Rico Dowdle, Amon-Ra St. Brown, Brandon Aubrey, Bo Nix"
8,Staff Infections,dealin,1,1,0,237.44,229.14,3,0,"Jayden Daniels, James Cook, George Pickens, Chuba Hubbard, Hunter Henry, Matthew Stafford, Zay Flowers"
9,Mnauta,Mnauta,1,1,0,248.68,275.56,11,0,"Caleb Williams, Rhamondre Stevenson, Drake London, Garrett Wilson, Jake Ferguson, D'Andre Swift, Michael Wilson"
10,Amon Top of Erin,Tullis14,0,2,0,158.14,206.74,4,0,"Jameson Williams, Kyle Pitts, Jordan Addison"
11,Woody Box Ticklers ,Doctahfootball,1,1,0,206.94,201.02,8,0,"Justin Herbert, Jonathan Taylor, J.K. Dobbins, Chris Olave, Courtland Sutton, Josh Downs"
12,Hard Rock Bottom,TLops,1,1,0,291.46,297.38,10,0,"Breece Hall, Mike Evans, Cam Skattebo, Ka'imi Fairbairn, Jordan Love, Rachaad White"
