week,roster_id,opponent_roster_id,points,result
1,1,12,105.56,L
1,2,6,100.34,L
1,3,11,85.70,L
1,4,10,123.36,W
1,5,7,101.76,L
1,6,2,149.46,W
1,7,5,117.00,W
1,8,9,128.70,W
1,9,8,84.06,L
1,10,4,114.86,L
1,11,3,106.12,W
1,12,1,126.92,W
2,1,8,88.70,W
2,2,11,103.88,W
2,3,10,107.26,W
2,4,12,77.74,L
2,5,6,127.38,L
2,6,5,141.22,W
2,7,9,121.38,W
2,8,1,83.06,L
2,9,7,57.72,L
2,10,3,81.78,L
2,11,2,100.72,L
2,12,4,120.66,W
3,1,4,0.00,L
3,2,10,0.00,
3,3,12,0.00,
3,4,1,17.90,W
3,5,11,0.00,
3,6,9,0.00,L
3,7,8,0.00,L
3,8,7,6.90,W
3,9,6,1.00,W
3,10,2,0.00,
3,11,5,0.00,
3,12,3,0.00,
