roster_id,slot,player_id,name,position,team,injury_status,is_starter,keeper
1,1,4881,Lamar Jackson,QB,BAL,,1,0
1,2,12507,Omarion Hampton,RB,LAC,,1,0
1,3,7021,Rico Dowdle,RB,PIT,,1,0
1,4,6794,Justin Jefferson,WR,MIN,,1,0
1,5,12526,Tetairoa McMillan,WR,CAR,,1,0
1,6,5022,Dallas Goedert,TE,PHI,,1,0
1,7,13279,Carnell Tate,WR,TEN,,1,0
1,8,8259,Cameron Dicker,K,LAC,Questionable,1,0
1,9,LAR,Los Angeles,DEF,LAR,,1,0
1,,11603,AJ Barner,TE,SEA,,0,0
1,,12490,Bhayshul Tuten,RB,JAX,,0,0
1,,12493,Oronde Gadsden,TE,LAC,,0,0
1,,12530,Travis Hunter,WR,JAX,,0,0
1,,12534,Kyle Monangai,RB,CHI,Questionable,0,0
1,,13294,Makai Lemon,WR,PHI,,0,0
1,,1479,Keenan Allen,WR,IND,,0,0
2,1,3163,Jared Goff,QB,DET,,1,0
2,2,8150,Kyren Williams,RB,LAR,,1,0
2,3,5892,David Montgomery,RB,HOU,,1,0
2,4,9493,Puka Nacua,WR,LAR,Questionable,1,0
2,5,8137,George Pickens,WR,DAL,,1,0
2,6,13330,Kenyon Sadiq,TE,NYJ,Questionable,1,0
2,7,7526,Jaylen Waddle,WR,DEN,,1,0
2,8,11786,Cam Little,K,JAX,,1,0
2,9,MIN,Minnesota,DEF,MIN,,1,0
2,,11631,Brian Thomas,WR,JAX,Questionable,0,0
2,,4892,Baker Mayfield,QB,TB,,0,0
2,,5872,Deebo Samuel,WR,SF,,0,0
2,,6806,J.K. Dobbins,RB,DEN,,0,0
2,,7594,Chuba Hubbard,RB,CAR,Questionable,0,0
2,,8121,Romeo Doubs,WR,NE,,0,0
2,,8408,Jordan Mason,RB,MIN,,0,0
3,1,3294,Dak Prescott,QB,DAL,,1,0
3,2,10219,Chris Rodriguez,RB,JAX,,1,0
3,3,7588,Javonte Williams,RB,DAL,,1,0
3,4,6786,CeeDee Lamb,WR,DAL,,1,0
3,5,5859,A.J. Brown,WR,NE,,1,0
3,6,10859,Sam LaPorta,TE,DET,Questionable,1,0
3,7,5927,Terry McLaurin,WR,WAS,,1,0
3,8,2747,Jason Myers,K,SEA,,1,0
3,9,SEA,Seattle,DEF,SEA,,1,0
3,,10222,Jayden Reed,WR,GB,,0,0
3,,11655,Tyrone Tracy,RB,NYG,Questionable,0,0
3,,13285,Malachi Fields,WR,NYG,,0,0
3,,13414,Kaelon Black,RB,SF,,0,0
3,,5844,T.J. Hockenson,TE,MIN,,0,0
3,,5846,DK Metcalf,WR,PIT,Questionable,0,0
4,1,11566,Jayden Daniels,QB,WAS,,1,0
4,2,9509,Bijan Robinson,RB,ATL,,1,0
4,3,8155,Breece Hall,RB,NYJ,Questionable,1,0
4,4,7569,Nico Collins,WR,HOU,,1,0
4,5,11632,Malik Nabers,WR,NYG,Questionable,1,0
4,6,9484,Tucker Kraft,TE,GB,Questionable,1,0
4,7,6801,Tee Higgins,WR,CIN,,1,0
4,8,5189,Eddy Pineiro,K,SF,,1,0
4,9,NE,New England,DEF,NE,,1,0
4,,12474,Woody Marks,RB,HOU,,0,0
4,,6819,Michael Pittman,WR,PIT,Questionable,0,0
4,,8110,Jake Ferguson,TE,DAL,,0,0
4,,8142,Alec Pierce,WR,IND,Questionable,0,0
4,,8154,Brian Robinson,RB,ATL,,0,0
4,,8183,Brock Purdy,QB,SF,,0,0
4,,8205,Isiah Pacheco,RB,DET,Questionable,0,0
5,1,6770,Joe Burrow,QB,CIN,,1,0
5,2,12481,Cam Skattebo,RB,NYG,,1,0
5,3,5967,Tony Pollard,RB,TEN,,1,0
5,4,7564,Ja'Marr Chase,WR,CIN,Questionable,1,0
5,5,2133,Davante Adams,WR,LAR,,1,0
5,6,8130,Trey McBride,TE,ARI,,1,0
5,7,11646,Jalen Coker,WR,CAR,,1,0
5,8,6650,Chase McLaughlin,K,TB,,1,0
5,9,DAL,Dallas,DEF,DAL,,1,0
5,,12489,RJ Harvey,RB,DEN,,0,0
5,,12501,Matthew Golden,WR,GB,,0,0
5,,13305,Mike Washington,RB,LV,,0,0
5,,1466,Travis Kelce,TE,KC,,0,0
5,,4037,Chris Godwin,WR,TB,,0,0
5,,8161,Malik Willis,QB,MIA,,0,0
5,,8180,Jalen Nailor,WR,LV,,0,0
6,1,4984,Josh Allen,QB,BUF,,1,0
6,2,9221,Jahmyr Gibbs,RB,DET,,1,0
6,3,11584,Bucky Irving,RB,TB,,1,0
6,4,8144,Chris Olave,WR,NO,,1,0
6,5,8146,Garrett Wilson,WR,NYJ,,1,0
6,6,12506,Harold Fannin,TE,CLE,,1,0
