roster_id,slot,player_id,name,position,team,injury_status,is_starter,keeper
8,3,12507,Omarion Hampton,RB,LAC,,1,0
8,4,6794,Justin Jefferson,WR,MIN,,1,0
8,5,8137,George Pickens,WR,DAL,,1,1
8,6,3214,Hunter Henry,TE,NE,,1,1
8,7,9997,Zay Flowers,WR,BAL,Questionable,1,1
8,8,11539,Jake Bates,K,DET,,1,0
8,9,JAX,Jacksonville,DEF,JAX,,1,0
8,,11581,MarShawn Lloyd,RB,GB,,0,0
8,,12469,Dylan Sampson,RB,CLE,,0,0
8,,421,Matthew Stafford,QB,LAR,,0,1
8,,5022,Dallas Goedert,TE,PHI,,0,0
8,,7594,Chuba Hubbard,RB,CAR,Questionable,0,1
8,,8676,Rashid Shaheed,WR,SEA,,0,0
8,,9504,Kayshon Boutte,WR,HOU,,0,0
9,1,11560,Caleb Williams,QB,CHI,,1,1
9,2,9509,Bijan Robinson,RB,ATL,,1,0
9,3,6790,D'Andre Swift,RB,CHI,Questionable,1,1
9,4,8112,Drake London,WR,ATL,,1,1
9,5,8146,Garrett Wilson,WR,NYJ,,1,1
9,6,8110,Jake Ferguson,TE,DAL,,1,1
9,7,12489,RJ Harvey,RB,DEN,,1,0
9,8,8259,Cameron Dicker,K,LAC,Questionable,1,0
9,9,SEA,Seattle,DEF,SEA,,1,0
9,,10232,Michael Wilson,WR,ARI,,0,1
9,,11628,Marvin Harrison,WR,ARI,,0,0
9,,13276,Omar Cooper,WR,NYJ,,0,0
9,,13330,Kenyon Sadiq,TE,NYJ,Questionable,0,0
9,,5849,Kyler Murray,QB,MIN,,0,0
9,,7611,Rhamondre Stevenson,RB,NE,,0,1
9,,8154,Brian Robinson,RB,ATL,,0,0
9,,9508,Tyjae Spears,RB,TEN,,0,0
10,1,6770,Joe Burrow,QB,CIN,,1,0
10,2,4866,Saquon Barkley,RB,PHI,,1,0
10,3,13287,Jeremiyah Love,RB,ARI,Questionable,1,0
10,4,8148,Jameson Williams,WR,DET,,1,1
10,5,13279,Carnell Tate,WR,TEN,Questionable,1,0
10,6,7553,Kyle Pitts,TE,ATL,,1,1
10,7,4199,Aaron Jones,RB,MIN,,1,0
10,8,7839,Evan McPherson,K,CIN,,1,0
10,9,PHI,Philadelphia,DEF,PHI,,1,0
10,,10222,Jayden Reed,WR,GB,,0,0
10,,11610,Malik Washington,WR,MIA,,0,0
10,,13337,Emmett Johnson,RB,KC,,0,0
10,,13346,Denzel Boston,WR,CLE,,0,0
10,,8126,Wan'Dale Robinson,WR,TEN,Questionable,0,0
10,,9480,Brenton Strange,TE,JAX,,0,0
10,,9511,Keaton Mitchell,RB,LAC,Questionable,0,0
10,,9756,Jordan Addison,WR,MIN,,0,1
11,1,6797,Justin Herbert,QB,LAC,,1,1
11,2,6813,Jonathan Taylor,RB,IND,,1,1
11,3,6806,J.K. Dobbins,RB,DEN,,1,1
11,4,8144,Chris Olave,WR,NO,,1,1
11,5,5045,Courtland Sutton,WR,DEN,,1,1
11,6,9484,Tucker Kraft,TE,GB,Questionable,1,0
11,7,9500,Josh Downs,WR,IND,Questionable,1,1
11,8,12185,Spencer Shrader,K,IND,,1,0
11,9,LAC,Los Angeles,DEF,LAC,,1,0
11,,11583,Jonathon Brooks,RB,CAR,Questionable,0,0
11,,12474,Woody Marks,RB,HOU,,0,0
11,,12492,Pat Bryant,WR,DEN,,0,0
11,,13285,Malachi Fields,WR,NYG,,0,0
11,,4943,Sam Darnold,QB,SEA,,0,0
11,,5995,Justice Hill,RB,BAL,,0,0
11,,8131,Isaiah Likely,TE,NYG,,0,0
12,1,4046,Patrick Mahomes,QB,KC,Questionable,1,0
12,2,3198,Derrick Henry,RB,BAL,,1,0
12,3,8155,Breece Hall,RB,NYJ,Questionable,1,1
12,4,4983,DJ Moore,WR,BUF,,1,0
12,5,2216,Mike Evans,WR,SF,Questionable,1,1
12,6,12493,Oronde Gadsden,TE,LAC,,1,0
12,7,12481,Cam Skattebo,RB,NYG,,1,1
12,8,3451,Ka'imi Fairbairn,K,HOU,,1,1
12,9,DEN,Denver,DEF,DEN,,1,0
12,,11655,Tyrone Tracy,RB,NYG,Questionable,0,0
12,,1466,Travis Kelce,TE,KC,,0,0
12,,1945,Chris Boswell,K,PIT,,0,0
12,,4037,Chris Godwin,WR,TB,,0,0
12,,6804,Jordan Love,QB,GB,,0,1
12,,7567,Kenny Gainwell,RB,TB,,0,1
12,,8136,Rachaad White,RB,WAS,Questionable,0,1
12,,8205,Isiah Pacheco,RB,DET,IR,0,0
12,,9754,Quentin Johnston,WR,LAC,,0,0
