roster_id,team_name,owner,wins,losses,ties,points_for,points_against,waiver_position,waiver_budget_used,keepers
1,Njigbas in Paris ,BG82,1,0,0,148.86,74.10,1,0,"Josh Allen, Jaylen Warren, David Montgomery, Jaxon Smith-Njigba, Emeka Egbuka, Harold Fannin, Terry McLaurin"
2,Nacua Matata,MikeDaly41,1,0,0,104.30,86.46,8,0,"Drake Maye, Bhayshul Tuten, Puka Nacua, Malik Nabers, Brock Bowers, Brian Thomas, Kyle Monangai"
3,Rashee's Driving School,mdoyle37,1,0,0,157.04,124.12,3,0,"Baker Mayfield, Bucky Irving, Rashee Rice, Tetairoa McMillan, Trey McBride, Javonte Williams, Jaylen Waddle"
4,Tittsburgh Feelers,Cillidog,0,1,0,74.10,148.86,11,0,"Jaxson Dart, De'Von Achane, Jacory Croskey-Merritt, CeeDee Lamb, Tee Higgins, Colston Loveland, Rome Odunze"
5,K9 Unit,rippont,0,1,0,137.16,166.68,7,0,"Lamar Jackson, Kyren Williams, Kenneth Walker, Tyler Warren, Travis Etienne, Blake Corum, Nico Collins"
6,The Ladds,mikeryan65,0,1,0,124.12,157.04,6,0,"Chase Brown, Ladd McConkey, Luther Burden, Jalen Coker, Quinshon Judkins, Jakobi Meyers"
7,Can You CeeDeez Nuts,ECast17,1,0,0,126.50,99.46,2,0,"Dak Prescott, Jahmyr Gibbs, Rico Dowdle, Amon-Ra St. Brown, Brandon Aubrey, Bo Nix, Michael Pittman"
8,Staff Infections,dealin,0,1,0,135.00,157.46,4,0,"Jayden Daniels, James Cook, George Pickens, Chuba Hubbard, Hunter Henry, Matthew Stafford, Zay Flowers"
9,Mnauta,Mnauta,1,0,0,157.46,135.00,10,0,"Caleb Williams, Rhamondre Stevenson, Drake London, Garrett Wilson, Jake Ferguson, D'Andre Swift, Michael Wilson"
10,Amon Top of Erin,Tullis14,0,1,0,86.46,104.30,5,0,"Jameson Williams, Kyle Pitts, Jordan Addison"
11,Woody Box Ticklers ,Doctahfootball,0,1,0,99.46,126.50,12,0,"Justin Herbert, Jonathan Taylor, J.K. Dobbins, Chris Olave, Courtland Sutton, Josh Downs"
12,South Beach CTE,TLops,1,0,0,166.68,137.16,9,0,"Breece Hall, Mike Evans, Cam Skattebo, Ka'imi Fairbairn, Jordan Love, Kenny Gainwell, Rachaad White"
